# Dicionario de Abreviaturas — IR 14-06, Art. 32 a 35
# Fonte: MD33-M-02, Manual de Abreviaturas, Siglas, Simbolos e Convencoes
#        Cartograficas das Forcas Armadas, 3a Edicao/2008, Capitulo IV.
# Gerado por scripts/governanca/extrair_abreviaturas_md33.py — nao editar a mao.
# inicial_conjunto: MD33-M-02, 3.1.9 — abreviavel por essa inicial quando em conjunto.
# A abreviatura NAO e chave unica: 3.1.17 preve duplicidade de simbologia.
abreviatura,termo,sinonimos,termo_completo,inicial_conjunto,somente_conjunto,origem
D Ctt,Destacamento de Contato,,Destacamento de Contato,,,MD33-M-02
DCA,Destacamento de Controle Avançado,,Destacamento de Controle Avançado,,,MD33-M-02
DD,Destacamento de Descoberta,,Destacamento de Descoberta,,,MD33-M-02
DDC,Destacamento de Descoberta a Cavalo,,Destacamento de Descoberta a Cavalo,,,MD33-M-02
DDM,Destacamento de Descoberta Motorizado,,Destacamento de Descoberta Motorizado,,,MD33-M-02
D Dest,Destacamento de Destruição,,Destacamento de Destruição,,,MD33-M-02
DLF Esp,Destacamento de Ligação de Forças Especiais,,Destacamento de Ligação de Forças Especiais,,,MD33-M-02
DOFEsp,Destacamento de Operações de Forças Especiais,,Destacamento de Operações de Forças Especiais,,,MD33-M-02
DOI,Destacamento de Operações e Informações,,Destacamento de Operações e Informações,,,MD33-M-02
Dst OI,Destacamento de Operações Internas,,Destacamento de Operações Internas,,,MD33-M-02
D Pra,Destacamento de Praia,,Destacamento de Praia,,,MD33-M-02
D Pra For Dbq,Destacamento de Praia da Força de Desembarque,,Destacamento de Praia da Força de Desembarque,,,MD33-M-02
DZ Dbq,Destacamento de Zona de Desembarque,,Destacamento de Zona de Desembarque,,,MD33-M-02
DOF Esp,Destacamento Operacional de Forças Especiais,,Destacamento Operacional de Forças Especiais,,,MD33-M-02
D Prec,Destacamento Precursor,,Destacamento Precursor,,,MD33-M-02
D Rtrd,Destacamento Retardador,,Destacamento Retardador,,,MD33-M-02
Dst,Destacamento,Destacar,"Destacamento, Destacar (D)",D,,MD33-M-02
DI,Destino Ignorado,,Destino Ignorado,,,MD33-M-02
Dstn,Destino,Destinatário;Destinar,"Destino, Destinatário, Destinar (D)",D,,MD33-M-02
Dest,Destruição,Destruir;Destruidor,"Destruição, Destruir, Destruidor",,,MD33-M-02
Dvtg,Desvantagem,,Desvantagem,,,MD33-M-02
Dv,Desvio,,Desvio (D),D,,MD33-M-02
Dv P,Desvio Padrão,,Desvio Padrão,,,MD33-M-02
DP Circ,Desvio Provável Circular,,Desvio Provável Circular,,,MD33-M-02
DPD,Desvio Provável em Direção,,Desvio Provável em Direção,,,MD33-M-02
DP Vtc,Desvio Provável Vertical,,Desvio Provável Vertical,,,MD33-M-02
Dtl,Detalhar,Detalhe,"Detalhar, Detalhe (D)",D,,MD33-M-02
Dtt,Detecção,Detector;Detectar,"Detecção, Detector, Detectar",,,MD33-M-02
Det,Determinar,Determinação,"Determinar, Determinação",,,MD33-M-02
MAD,Detetor de Anomalias Magnéticas (Aerotransportado) (Magnetic Anomalie Detector),,Detetor de Anomalias Magnéticas (Aerotransportado) (Magnetic Anomalie Detector),,,MD33-M-02
Detn,Detonador,Detonante,"Detonador, Detonante",,,MD33-M-02
Devol,Devolução,Devolver,"Devolução, Devolver",,,MD33-M-02
D,Dia,,Dia,,sim,MD33-M-02
D Mob,Dia de Mobilização,,Dia de Mobilização,,,MD33-M-02
D Mun,Dia de Munição,,Dia de Munição,,,MD33-M-02
D Sup,Dia de Suprimento,,Dia de Suprimento,,,MD33-M-02
Diagt,Diagnóstico,Diagnosticar;Diagnosticador,"Diagnóstico, Diagnosticar, Diagnosticador",,,MD33-M-02
Digr,Diagrama,Diagramador,"Diagrama (D), Diagramador",D,,MD33-M-02
D Cirt,Diagrama de Circuitos,,Diagrama de Circuitos,,,MD33-M-02
Digr E,Diagrama de Estiva,,Diagrama de Estiva,,,MD33-M-02
DRR,Diagrama de Rede Rádio,,Diagrama de Rede Rádio,,,MD33-M-02
DSMC,Diagrama do Sistema Multicanal,,Diagrama do Sistema Multicanal,,,MD33-M-02
D Trf Tel,Diagrama do Tráfego Telefônico,,Diagrama do Tráfego Telefônico,,,MD33-M-02
Diam,Diâmetro,,Diâmetro,,,MD33-M-02
Di,Diária,,Diária,,,MD33-M-02
DOU,Diário Oficial da União,,Diário Oficial da União,,,MD33-M-02
Dt,Didático,,Didático,,,MD33-M-02
Dific,Dificuldade,Dificultar,"Dificuldade, Dificultar",,,MD33-M-02
Dif,Difusão,Difundir;Difusor,"Difusão, Difundir, Difusor",,,MD33-M-02
Dig,Digitar,dígito;digitador,"Digitar, dígito, digitador",,,MD33-M-02
Dplm,Diplomacia,Diplomata;Diploma;Diplomar;Diplomação,"Diplomacia, Diplomata, Diploma, Diplomar, Diplomação",,,MD33-M-02
Dire,Direção (sentido),Direcionar,"Direção (sentido) (D), Direcionar",D,,MD33-M-02
DCTM,Direção Civil do Transporte Marítimo,,Direção Civil do Transporte Marítimo,,,MD33-M-02
DR,Direção de Referência,,Direção de Referência,,,MD33-M-02
DT,Direção de Tiro,,Direção de Tiro,,,MD33-M-02
DV,Direção de Vigilância,,Direção de Vigilância,,,MD33-M-02
DAS,Direção e Assessoramento Superior,,Direção e Assessoramento Superior,,,MD33-M-02
DGT,Direção Geral de Tiro,,Direção Geral de Tiro,,,MD33-M-02
DPT,Direção Principal de Tiro,,Direção Principal de Tiro,,,MD33-M-02
DTA,Direção Tática de Atuação,,Direção Tática de Atuação,,,MD33-M-02
Dirt,Direita,,Direita,,,MD33-M-02
Dtva,Diretiva,,Diretiva (D),D,,MD33-M-02
DI,Diretiva Inicial,,Diretiva Inicial,,,MD33-M-02
DPP,Diretiva Preliminar de Planejamento,,Diretiva Preliminar de Planejamento,,,MD33-M-02
Dto,Direto,,Direto,,,MD33-M-02
Dir,Diretor,Diretoria;Direção;Dirigir,"Diretor, Diretoria, Direção, Dirigir (D)",D,,MD33-M-02
Dtz,Diretriz,,Diretriz (D),D,,MD33-M-02
DBMM,Diretriz Básica de Mobilização Militar,,Diretriz Básica de Mobilização Militar,,,MD33-M-02
D Anvg,Diretriz de Aeronavegabilidade,,Diretriz de Aeronavegabilidade,,,MD33-M-02
D Anvg Emerg,Diretriz de Aeronavegabilidade de Emergência,,Diretriz de Aeronavegabilidade de Emergência,,,MD33-M-02
AOD,Diretriz de Operações Aéreas (Air Operations Directive),,Diretriz de Operações Aéreas (Air Operations Directive),,,MD33-M-02
Drg,Dirigível,Dirigibilidade,"Dirigível, Dirigibilidade",,,MD33-M-02
Drmr,Dirimir,,Dirimir,,,MD33-M-02
Discp,Disciplina,Disciplinar,"Disciplina, Disciplinar (D)",D,,MD33-M-02
Dis,Disco,,Disco,,,MD33-M-02
Dscp,Discrepância,,Discrepância,,,MD33-M-02
Discr,Discriminação,Discriminar;Discriminatório,"Discriminação, Discriminar, Discriminatório",,,MD33-M-02
Disc,Discussão,Discutir,"Discussão (D) , Discutir",D,,MD33-M-02
D Prbl,Discussão de Problema,,Discussão de Problema,,,MD33-M-02
D Dir,Discussão Dirigida,,Discussão Dirigida,,,MD33-M-02
Disf,Disfarce,Disfarçar;Disfarçável,"Disfarce, Disfarçar, Disfarçável",,,MD33-M-02
Disp,Dispensa,Dispensar;Dispensário,"Dispensa, Dispensar, Dispensário",,,MD33-M-02
Dprs,Dispersão,Dispersar,"Dispersão (D), Dispersar",D,,MD33-M-02
Dspn M,Disponibilidade Média,,Disponibilidade Média,,,MD33-M-02
Dspn,Disponível,Disponibilidade,"Disponível, Disponibilidade",,,MD33-M-02
Dspo,Dispositivo,Disposição,"Dispositivo (D), Disposição",D,,MD33-M-02
Dspo AS,Dispositivo de Apoio no Solo,,Dispositivo de Apoio no Solo,,,MD33-M-02
D Interf Rdr,Dispositivo de Interferência de Radar,,Dispositivo de Interferência de Radar,,,MD33-M-02
Dissem,Disseminar,Disseminação,"Disseminar, Disseminação",,,MD33-M-02
Dsml,Dissimular,Dissimulação;Dissimulador,"Dissimular, Dissimulação, Dissimulador",,,MD33-M-02
Diss,Dissuasão,Dissuadir;Dissuasório,"Dissuasão, Dissuadir, Dissuasório",,,MD33-M-02
D Ab,Distância de Abertura,,Distância de Abertura,,,MD33-M-02
DMR,Distância de Movimento Relativo,,Distância de Movimento Relativo,,,MD33-M-02
DO,Distância de Observação,,Distância de Observação,,,MD33-M-02
DEV,Distância entre Viaturas,,Distância entre Viaturas,,,MD33-M-02
DMIP,Distância Máxima de Interceptação Possível,,Distância Máxima de Interceptação Possível,,,MD33-M-02
DM Sup,Distância Média de Suprimento,,Distância Média de Suprimento,,,MD33-M-02
Dist,Distância,Distante,"Distância, Distante (D)",D,,MD33-M-02
DCE,Distintivo de Condição Especial,,Distintivo de Condição Especial,,,MD33-M-02
DOM,Distintivo de Organização Militar,,Distintivo de Organização Militar,,,MD33-M-02
Dl Sup,Distribuição em Instalação de Suprimento,,Distribuição em Instalação de Suprimento,,,MD33-M-02
Distr P,Distribuição por Ponto,,Distribuição por Ponto,,,MD33-M-02
Distr U,Distribuição por Unidade,,Distribuição por Unidade,,,MD33-M-02
Distr,Distribuição,Distribuidor;Distribuir,"Distribuição, Distribuidor, Distribuir (D)",D,,MD33-M-02
Dstr,Distrito,,Distrito,,,MD33-M-02
DN,Distrito Naval,,Distrito Naval,,,MD33-M-02
Diu,Diurno,,Diurno,,,MD33-M-02
Dvg,Divergente,Divergência;Divergir,"Divergente, Divergência, Divergir",,,MD33-M-02
Dvsn,Diversionária,,Diversionária,,,MD33-M-02
Dvs,Diversos,Diversificar,"Diversos, Diversificar",,,MD33-M-02
Div,Dividir,Divisão;Divisionária,"Dividir, Divisão, Divisionária (D)",D,,MD33-M-02
Div Anf,Divisão Anfíbia,,Divisão Anfíbia,,,MD33-M-02
DE,Divisão de Exército,,Divisão de Exército,,,MD33-M-02
DIPAA,Divisão de Investigação e Prevenção de Acidentes Aeronáuticos,,Divisão de Investigação e Prevenção de Acidentes Aeronáuticos,,,MD33-M-02
DPAA,Divisão de Prevenção de Acidentes Aeronáuticos,,Divisão de Prevenção de Acidentes Aeronáuticos,,,MD33-M-02
Dvg,Divulgar,Divulgação,"Divulgar, Divulgação",,,MD33-M-02
Doc,Documento,Documentação;Documentar;Documentário;Documental,"Documento, Documentação, Documentar, Documentário, Documental",,,MD33-M-02
Don,Doente,Doença,"Doente, Doença (D)",D,,MD33-M-02
Domc,Domicílio,Domiciliar,"Domicílio, Domiciliar",,,MD33-M-02
Domi,Domínio,Dominante;Dominar,"Domínio, Dominante (D), Dominar",D,,MD33-M-02
Dos,Dosagem,Dose;Dosar,"Dosagem, Dose, Dosar",,,MD33-M-02
D Ens,Dotação de Ensino,,Dotação de Ensino,,,MD33-M-02
Dot G,Dotação de Guerra,,Dotação de Guerra,,,MD33-M-02
DI,Dotação de Instrução,,Dotação de Instrução,,,MD33-M-02
DM,Dotação de Municão,,Dotação de Municão,,,MD33-M-02
DMA,Dotação de Munição Anual,,Dotação de Munição Anual,,,MD33-M-02
D Esp,Dotação Especial,,Dotação Especial,,,MD33-M-02
DO,Dotação Orgânica,,Dotação Orgânica,,,MD33-M-02
Dot,Dotar,Dotação,"Dotar, Dotação (D)",D,,MD33-M-02
Dout,Doutrina,Doutrinar;Doutrinação,"Doutrina (D), Doutrinar, Doutrinação",D,,MD33-M-02
Dout G,Doutrina de Guerra,,Doutrina de Guerra,,,MD33-M-02
DID,Doutrina de Inteligência de Defesa,,Doutrina de Inteligência de Defesa,,,MD33-M-02
Dout M,Doutrina Militar,,Doutrina Militar,,,MD33-M-02
DMD,Doutrina Militar de Defesa,,Doutrina Militar de Defesa,,,MD33-M-02
Dur,Duração,Durante;Durável;Durabilidade,"Duração, Durante, Durável, Durabilidade",,,MD33-M-02
Duv,Dúvida,Duvidar;Duvidoso,"Dúvida, Duvidar, Duvidoso",,,MD33-M-02
Econ,Economia,Econômico;Economizar;Ecônomo;Economista,"Economia, Econômico, Economizar (E), Ecônomo, Economista",E,,MD33-M-02
Ed,Edição,Editar;Editor;Editorial,"Edição, Editar, Editor, Editorial",,,MD33-M-02
Edc,Educacional,Educação;Educativo;Educador,"Educacional, Educação, Educativo, Educador",,,MD33-M-02
Efto,Efeito,,Efeito,,,MD33-M-02
Ef,Efetivo,Efetivação;Efetivar;Efetivado,"Efetivo, Efetivação, Efetivar, Efetivado",,,MD33-M-02
Efet,Efetuar,Efetuado,"Efetuar, Efetuado",,,MD33-M-02
Efi,Eficaz,Eficácia,"Eficaz, Eficácia",,,MD33-M-02
Efc,Eficiência,Eficiente,"Eficiência, Eficiente",,,MD33-M-02
E,Eixo,,Eixo,,sim,MD33-M-02
E Atq,Eixo de Ataque,,Eixo de Ataque,,,MD33-M-02
E Com,Eixo de Comunicações,,Eixo de Comunicações,,,MD33-M-02
E Ev,Eixo de Evacuação,,Eixo de Evacuação,,,MD33-M-02
E Prog,Eixo de Progressão,,Eixo de Progressão,,,MD33-M-02
E Sup Ev,Eixo de Suprimento e Evacuação,,Eixo de Suprimento e Evacuação,,,MD33-M-02
Elb,Elaborar,Elaboração;Elaborado;Elaborador,"Elaborar, Elaboração, Elaborado, Elaborador",,,MD33-M-02
Elm,Elemento,Elementar,"Elemento (E), Elementar",E,,MD33-M-02
Elm Anf,Elemento Anfíbio,,Elemento Anfíbio,,,MD33-M-02
EAF,Elemento de Apoio de Fogo,,Elemento de Apoio de Fogo,,,MD33-M-02
Elm ASC,Elemento de Apoio de Serviços ao Combate,,Elemento de Apoio de Serviços ao Combate,,,MD33-M-02
ECAF,Elemento de Coordenação de Apoio de Fogo,,Elemento de Coordenação de Apoio de Fogo,,,MD33-M-02
Elm D Ae,Elemento de Defesa Aérea,,Elemento de Defesa Aérea,,,MD33-M-02
ED A Ae,Elemento de Defesa Antiaérea,,Elemento de Defesa Antiaérea,,,MD33-M-02
E Elt Com,Elemento de Eletrônica e Comunicações,,Elemento de Eletrônica e Comunicações,,,MD33-M-02
E Bem,Elemento de Embarque,,Elemento de Embarque,,,MD33-M-02
EE,Elemento de Engenharia,,Elemento de Engenharia,,,MD33-M-02
EGQBR,"Elemento de Guerra Química, Biológica e Radiológica",,"Elemento de Guerra Química, Biológica e Radiológica",,,MD33-M-02
E Op,Elemento de Operações,,Elemento de Operações,,,MD33-M-02
EQBR,"Elemento Químico, Bacteriológico e Radiológico",,"Elemento Químico, Bacteriológico e Radiológico",,,MD33-M-02
ET,Elemento Tarefa,,Elemento Tarefa,,,MD33-M-02
EDC,Elementos Deixados em Contato,,Elementos Deixados em Contato,,,MD33-M-02
EEI,Elementos Essenciais de Inteligência,,Elementos Essenciais de Inteligência,,,MD33-M-02
El,Eletricidade,Elétrico;Eletricista,"Eletricidade, Elétrico, Eletricista",,,MD33-M-02
Eltg,Eletrogêneo,,Eletrogêneo,,,MD33-M-02
Eltmg,Eletromagnético,Eletromagnetismo,"Eletromagnético, Eletromagnetismo",,,MD33-M-02
Elt,Eletrônica,,Eletrônica (E),E,,MD33-M-02
Elv,Elevação,Elevar;Elevador,"Elevação, Elevar, Elevador",,,MD33-M-02
Eli Elim,Eliminação,Eliminar;Eliminado;Eliminador;Eliminável,"Eliminação, Eliminar, Eliminado, Eliminador, Eliminável",,,MD33-M-02
ECD,Em Condições De,,Em Condições De,,,MD33-M-02
E Ass,Embarcação de Assalto,,Embarcação de Assalto,,,MD33-M-02
ED,Embarcação de Desembarque,,Embarcação de Desembarque,,,MD33-M-02
EDCG,Embarcação de Desembarque de Carga Geral,,Embarcação de Desembarque de Carga Geral,,,MD33-M-02
EDVM,Embarcação de Desembarque de Viaturas e Material,,Embarcação de Desembarque de Viaturas e Material,,,MD33-M-02
EDVP,Embarcação de Desembarque de Viaturas e Pessoal,,Embarcação de Desembarque de Viaturas e Pessoal,,,MD33-M-02
ED Pn,Embarcação de Desembarque Pneumática,,Embarcação de Desembarque Pneumática,,,MD33-M-02
EDCA,Embarcação de Desembarque sobre Colchões de Ar,,Embarcação de Desembarque sobre Colchões de Ar,,,MD33-M-02
ETT,Embarcação de Transporte de Tropa,,Embarcação de Transporte de Tropa,,,MD33-M-02
Emb,Embarcação,Embarcar;Embarque,"Embarcação, Embarcar, Embarque (E)",E,,MD33-M-02
Embg,Embargo,Embargar,"Embargo, Embargar",,,MD33-M-02
Emerg,Emergência,Emergencial;Emergente;Emergir,"Emergência (E), Emergencial, Emergente, Emergir",E,,MD33-M-02
Emi,Emitir,Emissão;Emitido;Emissor;Emitente,"Emitir, Emissão, Emitido, Emissor, Emitente",,,MD33-M-02
Epng,Empenagem,,Empenagem,,,MD33-M-02
Emph,Empenhado,Empenho;Empenhar,"Empenhado, Empenho, Empenhar",,,MD33-M-02
Empl,Empilhadeira,Empilhar,"Empilhadeira, Empilhar",,,MD33-M-02
Emp,Empregar,Emprego;Empregador,"Empregar, Emprego, Empregador (E)",E,,MD33-M-02
EG,Emprego Geral,,Emprego Geral,,,MD33-M-02
Encam,Encaminhar,Encaminhamento;Encaminhador,"Encaminhar, Encaminhamento, Encaminhador",,,MD33-M-02
Enc MC,Encarregado do Material Controlado,,Encarregado do Material Controlado,,,MD33-M-02
EGA,Encarregado Geral do Armamento,,Encarregado Geral do Armamento,,,MD33-M-02
Enc,Encarregar,Encargo,"Encarregar, Encargo",,,MD33-M-02
Encth,Encartuchar,,Encartuchar,,,MD33-M-02
Encer,Encerrar,Encerramento,"Encerrar, Encerramento",,,MD33-M-02
Enco,Encontrar,Encontro,"Encontrar, Encontro (E)",E,,MD33-M-02
End,Endereçar,Endereço;Endereçamento;Endereçador,"Endereçar, Endereço, Endereçamento, Endereçador",,,MD33-M-02
En,Energia,Energizar,"Energia, Energizar",,,MD33-M-02
Enf,Enfermeira,Enfermaria;Enfermagem,"Enfermeira, Enfermaria, Enfermagem",,,MD33-M-02
Engj,Engajar,Engajamento,"Engajar, Engajamento",,,MD33-M-02
Engst,Engastar,,Engastar,,,MD33-M-02
ED,Engenharia (ou Engenheiro) Divisionária,,Engenharia (ou Engenheiro) Divisionária,,,MD33-M-02
Eng,Engenharia,Engenheiro,"Engenharia, Engenheiro (E)",E,,MD33-M-02
Enq,Enquadrar,Enquadramento,"Enquadrar, Enquadramento",,,MD33-M-02
Eso,Ensaio,,Ensaio,,,MD33-M-02
END,Ensaio Não-Destrutivos,,Ensaio Não-Destrutivos,,,MD33-M-02
Ens,Ensinar,Ensino;Ensinamento,"Ensinar, Ensino, Ensinamento (E)",E,,MD33-M-02
EAD,Ensino à Distância,,Ensino à Distância,,,MD33-M-02
E Pres,Ensino Presencial,,Ensino Presencial,,,MD33-M-02
Etd,Entendimento,Entender,"Entendimento, Entender",,,MD33-M-02
Enti,Entidade,,Entidade,,,MD33-M-02
Ent,Entrar,Entrada,"Entrar, Entrada",,,MD33-M-02
Entg,Entrega,Entregar;Entregador,"Entrega, Entregar, Entregador",,,MD33-M-02
EPS,Entrevista Padronizada de Seleção,,Entrevista Padronizada de Seleção,,,MD33-M-02
Entrv,Entrevistar,Entrevista;Entrevistado;Entrevistador,"Entrevistar, Entrevista, Entrevistado (E), Entrevistador",E,,MD33-M-02
Entr,Entroncamento,Entroncar,"Entroncamento, Entroncar",,,MD33-M-02
Envi,Enviar,Envio,"Enviar, Envio",,,MD33-M-02
Env V,Envolvimento Vertical,,Envolvimento Vertical,,,MD33-M-02
Env,Envolvimento,Envolver,"Envolvimento, Envolver",,,MD33-M-02
Enx,Enxerto,Enxertar,"Enxerto, Enxertar",,,MD33-M-02
Eql,Equilíbrio,Equilibrar,"Equilíbrio, Equilibrar",,,MD33-M-02
Eqp,Equipagem,Equipamento;Equipar;Equipe,"Equipagem, Equipamento, Equipar, Equipe (E)",E,,MD33-M-02
EAS,Equipamento de Apoio de Solo,,Equipamento de Apoio de Solo,,,MD33-M-02
Eqp DDT,Equipamento de Detecção e Direção de Tiro,,Equipamento de Detecção e Direção de Tiro,,,MD33-M-02
EDT,Equipamento de Direção de Tiro,,Equipamento de Direção de Tiro,,,MD33-M-02
DME,Equipamento de Medida de Distância (Distance Measuring Equipment),,Equipamento de Medida de Distância (Distance Measuring Equipment),,,MD33-M-02
EPI,Equipamento de Proteção Individual,,Equipamento de Proteção Individual,,,MD33-M-02
EIFM,Equipamento Indisponível por Falta de Material,,Equipamento Indisponível por Falta de Material,,,MD33-M-02
EIBC,Equipamento Individual Básico de Combate,,Equipamento Individual Básico de Combate,,,MD33-M-02
ENCE,Equipamento Não Completamente Equipado,,Equipamento Não Completamente Equipado,,,MD33-M-02
EPLR,Equipamento Parado na Linha de Revisão,,Equipamento Parado na Linha de Revisão,,,MD33-M-02
Eqpr,Equiparar,Equiparação,"Equiparar, Equiparação",,,MD33-M-02
EC Anf,Equipe de Comandos Anfíbios,,Equipe de Comandos Anfíbios,,,MD33-M-02
EDS,Equipe de Demolição Submarina,,Equipe de Demolição Submarina,,,MD33-M-02
Eq DP,Equipe de Destacamento de Praia,,Equipe de Destacamento de Praia,,,MD33-M-02
EE,Equipe de Embarcação,,Equipe de Embarcação,,,MD33-M-02
ERM,Equipe de Resgate no Mar,,Equipe de Resgate no Mar,,,MD33-M-02
Equi,Equitação,,Equitação,,,MD33-M-02
Esb,Esboço,Esboçar,"Esboço, Esboçar",,,MD33-M-02
EAI,Escalão de Apoio Inicial,,Escalão de Apoio Inicial,,,MD33-M-02
EAR,Escalão de Apoio Recuado,,Escalão de Apoio Recuado,,,MD33-M-02
EMA,Escalão Móvel de Apoio,,Escalão Móvel de Apoio,,,MD33-M-02
Esc R,Escalão Recuado,,Escalão Recuado,,,MD33-M-02
Esc T,Escalão Territorial,,Escalão Territorial,,,MD33-M-02
Esc,Escalar,Escalão;Escala;Escalador,"Escalar, Escalão, Escala, Escalador",,,MD33-M-02
Escn,Escalonar,Escalonamento,"Escalonar, Escalonamento",,,MD33-M-02
Escl,Esclarecer,Esclarecimento;Esclarecedor,"Esclarecer, Esclarecimento, Esclarecedor",,,MD33-M-02
Esco,Escoamento,Escoar;Escoadouro,"Escoamento, Escoar, Escoadouro",,,MD33-M-02
ECEMAR,Escola de Comando e Estado-Maior da Aeronáutica,,Escola de Comando e Estado-Maior da Aeronáutica,,,MD33-M-02
ECEME,Escola de Comando e Estado-Maior do Exército,,Escola de Comando e Estado-Maior do Exército,,,MD33-M-02
EFOMM,Escola de Formação de Oficiais da Marinha Mercante,,Escola de Formação de Oficiais da Marinha Mercante,,,MD33-M-02
EGN,Escola de Guerra Naval,,Escola de Guerra Naval,,,MD33-M-02
ESG,Escola Superior de Guerra,,Escola Superior de Guerra,,,MD33-M-02
Es,Escola,Escolar,"Escola, Escolar",,,MD33-M-02
Escol,Escolher,Escolha,"Escolher, Escolha,",,,MD33-M-02
Esct,Escolta ),Escoltar,"Escolta (E) ) , Escoltar",E,,MD33-M-02
Escr,Escrever,Escrevente;Escrivão,"Escrever, Escrevente, Escrivão",,,MD33-M-02
Ecd,Escudo,Escudar,"Escudo, Escudar",,,MD33-M-02
Escrc,Escurecimento,Escurecer,"Escurecimento, Escurecer (E)",E,,MD33-M-02
ECC,Esforço Contínuo de Combate,,Esforço Contínuo de Combate,,,MD33-M-02
EIC,Esforço Intensivo de Combate,,Esforço Intensivo de Combate,,,MD33-M-02
EMC,Esforço Máximo de Combate,,Esforço Máximo de Combate,,,MD33-M-02
Esf,Esforço,Esforçar,"Esforço, Esforçar",,,MD33-M-02
Esgt,Esgotamento,Esgotar,"Esgotamento, Esgotar",,,MD33-M-02
Espc,Espacial,,Espacial,,,MD33-M-02
EAB,Espaço Aéreo Brasileiro,,Espaço Aéreo Brasileiro,,,MD33-M-02
EAR,Espaço Aéreo Restrito,,Espaço Aéreo Restrito,,,MD33-M-02
Esp,Espaço,Espaçamento;Espaçar Espç Especial;Especialista;Especialização;Especialidade;Especializado,"Espaço, Espaçamento, Espaçar (E) Espç Especial, Especialista, Especialização, Especialidade, Especializado (E)",E,,MD33-M-02
Epcf,Especificar,Especificação;Específico;Especificador,"Especificar, Especificação, Específico, Especificador",,,MD33-M-02
Espa,Espera,Esperar,"Espera, Esperar",,,MD33-M-02
Espi,Espionagem,Espião;Espionar,"Espionagem, Espião, Espionar",,,MD33-M-02
Epl,Espoleta,Espoletar,"Espoleta (E), Espoletar",E,,MD33-M-02
EO,Espoleta de Ogiva,,Espoleta de Ogiva,,,MD33-M-02
EODE,Espoleta de Ogiva de Duplo Efeito,,Espoleta de Ogiva de Duplo Efeito,,,MD33-M-02
EOP,Espoleta de Ogiva de Percussão,,Espoleta de Ogiva de Percussão,,,MD33-M-02
EOT,Espoleta de Ogiva de Tempo,,Espoleta de Ogiva de Tempo,,,MD33-M-02
EOF,Espoleta de Ogiva Falsa,,Espoleta de Ogiva Falsa,,,MD33-M-02
EO Ine,Espoleta de Ogiva Inerte,,Espoleta de Ogiva Inerte,,,MD33-M-02
E Rtrd,Espoleta de Retardo,,Espoleta de Retardo,,,MD33-M-02
ET,Espoleta de Tempo,,Espoleta de Tempo,,,MD33-M-02
ETV,Espoleta de Tempo Variável,,Espoleta de Tempo Variável,,,MD33-M-02
E Itt,Espoleta Instantânea,,Espoleta Instantânea,,,MD33-M-02
E Pe,Espoleta Percutente,,Espoleta Percutente,,,MD33-M-02
Epli,Espólio,Espoliar;Espoliador,"Espólio, Espoliar, Espoliador",,,MD33-M-02
ET,Esquadra de Tiro,,Esquadra de Tiro,,,MD33-M-02
Esq,Esquadra,Esquadro,"Esquadra, Esquadro",,,MD33-M-02
Esqd,Esquadrão,,Esquadrão (E),E,,MD33-M-02
EAS,Esquadrão Aeroterrestre de Salvamento,,Esquadrão Aeroterrestre de Salvamento,,,MD33-M-02
EAA,Esquadrão de Apoio Aéreo,,Esquadrão de Apoio Aéreo,,,MD33-M-02
E Ap F,Esquadrão de Apoio de Fogo,,Esquadrão de Apoio de Fogo,,,MD33-M-02
Esqd VF,Esquadrão de Aviões de Interceptação e Ataque,,Esquadrão de Aviões de Interceptação e Ataque,,,MD33-M-02
Esqd CC,Esquadrão de Carros de Combate,,Esquadrão de Carros de Combate,,,MD33-M-02
Esqd C Sl,Esquadrão de Cavalaria de Selva,,Esquadrão de Cavalaria de Selva,,,MD33-M-02
Esqd C Mec,Esquadrão de Cavalaria Mecanizado,,Esquadrão de Cavalaria Mecanizado,,,MD33-M-02
Esqd C Pqdt,Esquadrão de Cavalaria Pára-quedista,,Esquadrão de Cavalaria Pára-quedista,,,MD33-M-02
Esqd C,Esquadrão de Comando,,Esquadrão de Comando,,,MD33-M-02
Esqd C Bda,Esquadrão de Comando de Brigada,,Esquadrão de Comando de Brigada,,,MD33-M-02
Esqd C Sv,Esquadrão de Comando e Serviços,,Esquadrão de Comando e Serviços,,,MD33-M-02
Esqd CT,Esquadrão de Contratorpedeiros,,Esquadrão de Contratorpedeiros,,,MD33-M-02
EDA,Esquadrão de Demonstração Aérea,,Esquadrão de Demonstração Aérea,,,MD33-M-02
Esqd F,Esquadrão de Fragatas,,Esquadrão de Fragatas,,,MD33-M-02
Esqd HS,Esquadrão de Helicópteros Anti-submarino,,Esquadrão de Helicópteros Anti-submarino,,,MD33-M-02
Esqd HU,Esquadrão de Helicópteros de Emprego Geral,,Esquadrão de Helicópteros de Emprego Geral,,,MD33-M-02
Esqd HA,Esquadrão de Helicópteros de Esclarecimento e Ataque,,Esquadrão de Helicópteros de Esclarecimento e Ataque,,,MD33-M-02
Esqd Hl,Esquadrão de Helicópteros de Instrução,,Esquadrão de Helicópteros de Instrução,,,MD33-M-02
EIE,Esquadrão de Infra-estrutura,,Esquadrão de Infra-estrutura,,,MD33-M-02
EIA,Esquadrão de Instrução Aérea,,Esquadrão de Instrução Aérea,,,MD33-M-02
